Customer_ID,Name,Email,Spending ($),Frequency (visits/month)
CUST1,Thomas Pacheco,usmith@woodward.info,8.491215876624636,15
CUST2,Sarah Walter,rhernandez@hayes.com,4.462785638945419,10
CUST3,Jessica Jacobs,williambeasley@delgado.com,3.0,14
CUST4,Angela Garcia,martinezshannon@franklin-warren.com,7.134899209018025,19
CUST5,Adrian Perez,tammy44@gmail.com,4.118134551363505,23
CUST6,Christian Romero,sguzman@moran.com,3.0,14
CUST7,Kathy Taylor,kathleen83@powell.com,6.212241833815334,19
CUST8,Lisa Peterson,gonzalezashley@deleon-lopez.info,4.55555318390622,18
CUST9,Michelle Johnson,erin92@hotmail.com,4.512010000815977,22
CUST10,Todd Anderson,smithdiana@gmail.com,6.474123022449103,26
CUST11,John Bates,robin53@austin.com,6.655356815114324,28
CUST12,Melissa Brown,bennettmatthew@hotmail.com,3.4969567220338726,29
CUST13,Ana Allen,jesse40@munoz.com,5.24468158680512,10
CUST14,Doris Williams,gclements@valenzuela.com,3.0,18
CUST15,Amanda Bird,jodi37@stokes.com,4.485758695539472,27
CUST16,Lisa Reed,longdavid@hotmail.com,3.2449076411685747,14
CUST17,Christopher Ross,bridgestommy@turner.com,4.579399520886876,23
CUST18,Mark Hicks,laurajohnson@jones-murphy.com,4.180698616968537,28
CUST19,Matthew Williams,imclean@rios.com,4.636274685250483,24
CUST20,Richard Cox,damonstone@fields-stanley.com,3.0,13
CUST21,Christopher Nichols,medinatodd@yahoo.com,3.0,13
CUST22,Russell Young,amber86@hodges-jackson.com,4.566415393698616,27
CUST23,Brenda Hamilton,qliu@gmail.com,7.988840814830428,27
CUST24,Jordan Butler,qesparza@hotmail.com,6.464047999338443,17
CUST25,Melissa Barajas,lesliegaines@adkins.com,5.867989703382919,11
CUST26,Desiree Delacruz,howardtrevor@todd.com,3.809099212658717,25
CUST27,Samantha Gillespie,mbutler@gmail.com,3.1109074582308196,23
CUST28,Emily Castillo,cthomas@hotmail.com,6.249347295591692,10
CUST29,Gabriel Carroll,uforbes@hotmail.com,3.0,26
CUST30,Melissa Mckee,brennanangela@hunt.biz,8.263859133200732,19
CUST31,Angela Hess,kreynolds@yahoo.com,4.913179253976208,25
CUST32,Jennifer Howard,adkinsderrick@marks.com,9.029187659535395,12
CUST33,Heather Spencer,kbutler@hotmail.com,8.406718722608943,28
CUST34,Robert Cooper,fosterscott@gmail.com,5.8426060290382615,20
CUST35,Anthony Hartman DDS,stephanie76@ayala-berger.com,5.763367482550764,24
CUST36,Daniel Nelson,stephenmitchell@yahoo.com,3.709985727070813,27
CUST37,Carlos Matthews,jamesdavis@yahoo.com,7.644051337142471,29
CUST38,Frank Craig,elizabeth76@davis.info,4.237232985553928,28
CUST39,Adam Miller,chapmandeanna@yahoo.com,3.0,16
CUST40,Michael Erickson,jhill@peterson.biz,7.307845265886398,15
CUST41,Christine Rivera,fosterashley@hotmail.com,6.091515705565204,18
CUST42,Kimberly Gonzales,wpatterson@gmail.com,3.9701252373750107,22
CUST43,Justin Perez,angelacarrillo@hotmail.com,5.529899187818531,17
CUST44,Deanna Chan,pmurphy@valdez-boyle.com,5.065432066903852,27
CUST45,Bruce Dalton,bradydavid@hotmail.com,7.956441822306976,12
CUST46,Jocelyn Garcia,uestrada@yahoo.com,3.0,10
CUST47,Darren Patton,tuckerkaylee@yahoo.com,7.980007420609887,27
CUST48,Donald Taylor,hsmith@murphy-smith.biz,7.660289010765171,13
CUST49,Robert Nguyen,ryanapril@johnson.net,3.7190273729277985,27
CUST50,John Humphrey MD,stevenpeters@ochoa.com,5.8411521542261475,25
CUST51,Rebecca Small,rodriguezwayne@hotmail.com,6.0955617519542455,27
CUST52,Jacob Wong,masseythomas@day.biz,10.957292373891503,12
